ID,TREATMENT,PREvTREAT,DAY,MONTH,YEAR,DD,MASS,HL,TL,TAILGIRTH,NECKGIRTH
A,High,PRE,21,3,2019,80,102.2,5.1,35.1,6.1,7.1
A,High,PRE,30,3,2019,89,103.7,5.1,35.2,6.4,6.6
A,High,PRE,6,4,2019,96,104.1,5.1,36.2,6.4,6.7
A,High,PRE,13,4,2019,103,106.9,5.3,36.5,6.4,6.7
A,High,PRE,20,4,2019,110,110.3,5.3,36.7,6.5,6.7
A,High,PRE,27,4,2019,117,112.5,5.3,37,6.5,6.6
A,High,PRE,4,5,2019,124,115,5.3,37,6.5,6.8
A,High,PRE,15,5,2019,135,115.7,5.3,37.5,6.6,6.8
A,High,PRE,18,5,2019,138,117.5,5.3,37.8,6.4,6.7
A,High,PRE,25,5,2019,145,119.5,5.3,37.9,6.6,6.7
A,High,TREAT,1,6,2019,157,125.4,5.3,38.5,6.5,6.7
A,High,TREAT,8,6,2019,159,128.6,5.3,38.8,6.8,7.1
A,High,TREAT,15,6,2019,166,133.3,5.3,38.8,6.4,7
A,High,TREAT,22,6,2019,173,135.7,5.3,39,6.5,7.1
A,High,TREAT,2,7,2019,183,143.2,5.4,39.6,6.7,6.9
A,High,TREAT,6,7,2019,187,141.3,5.4,39.6,6.5,6.6
A,High,TREAT,13,7,2019,194,146.1,5.4,39.7,6.7,7.2
A,High,TREAT,20,7,2019,201,149,5.4,40.1,6.7,7.1
A,High,TREAT,27,7,2019,208,156.7,5.4,40.2,6.8,7
A,High,TREAT,3,8,2019,215,160.7,5.4,40.6,6.9,7.1
A,High,TREAT,5,8,2019,217,159,5.4,40.9,6.8,7.1
B,Low,PRE,21,3,2019,80,101.9,5.1,35.9,6.1,6.6
B,Low,PRE,30,3,2019,89,102.3,5.3,36.2,6.1,6.8
B,Low,PRE,6,4,2019,96,105.2,5.3,36.3,6.1,6.6
B,Low,PRE,13,4,2019,103,106.9,5.3,36.5,6.2,6.6
B,Low,PRE,20,4,2019,110,111.1,5.3,36.5,6.2,6.7
B,Low,PRE,27,4,2019,117,114.5,5.3,37,6.3,6.6
B,Low,PRE,4,5,2019,124,111.6,5.3,37,6.2,6.6
B,Low,PRE,15,5,2019,135,110.4,5.3,37.3,6.2,6.5
B,Low,PRE,18,5,2019,138,112.4,5.3,37.4,6.3,6.7
B,Low,PRE,25,5,2019,145,114.5,5.3,37.6,6.3,6.7
B,Low,TREAT,1,6,2019,157,115.7,5.3,37.6,6,6.6
B,Low,TREAT,8,6,2019,159,123.4,5.3,37.8,6.1,6.7
B,Low,TREAT,15,6,2019,166,126.3,5.3,38,6.3,6.9
B,Low,TREAT,22,6,2019,173,129.9,5.3,38,6.4,6.8
B,Low,TREAT,2,7,2019,183,132.8,5.3,38,6.3,6.8
B,Low,TREAT,6,7,2019,187,128.7,5.3,38,6.3,6.9
B,Low,TREAT,13,7,2019,194,126.8,5.3,38,6.3,6.6
B,Low,TREAT,20,7,2019,201,130.6,5.3,38.1,6.1,6.8
B,Low,TREAT,27,7,2019,208,133.5,5.3,38.1,6.1,6.8
